Item Code,Name,Icon URL,Thumbnail URL
"DUN CHAR01","Golden Ping Pong Passion Charm","https://drive.google.com/drive/folders/1Y5fJz45S3vo4cg6UDdMoMQA2NdZj1ynN?usp=drive_link","https://drive.google.com/drive/folders/1Y5fJz45S3vo4cg6UDdMoMQA2NdZj1ynN?usp=drive_link"
"DUN CHAR02","Pickleball Spark Charm","https://drive.google.com/drive/folders/12BHVq6tVNIdMUDnFr3cz6CZbO6uHIyj_?usp=drive_link","https://drive.google.com/drive/folders/12BHVq6tVNIdMUDnFr3cz6CZbO6uHIyj_?usp=drive_link"
"DUN CHAR03","Silver Street Sneaker Charm","https://drive.google.com/drive/folders/1sqfoZjd3GOZFm8oFzLUEMvxT8rIVd3ct?usp=drive_link","https://drive.google.com/drive/folders/1sqfoZjd3GOZFm8oFzLUEMvxT8rIVd3ct?usp=drive_link"
"DUN CHAR04","Tennis Ace Charm","https://drive.google.com/drive/folders/1h29F7Qqa6Fz0tggex0PxncLbhyO28WGV?usp=drive_link","https://drive.google.com/drive/folders/1h29F7Qqa6Fz0tggex0PxncLbhyO28WGV?usp=drive_link"
"DUN CHAR05","Silver Tennis Spark Charm","https://drive.google.com/drive/folders/16YTTMKytSJm0YRIZJZIW_LM3amltcuJg?usp=drive_link","https://drive.google.com/drive/folders/16YTTMKytSJm0YRIZJZIW_LM3amltcuJg?usp=drive_link"
"DUN CHAR06","Rainbow Skateboard Charm","https://drive.google.com/drive/folders/1aAdJMrCn653vZII--8KuytFpMPBrKKIB?usp=drive_link","https://drive.google.com/drive/folders/1aAdJMrCn653vZII--8KuytFpMPBrKKIB?usp=drive_link"
"DUN CHAR07","Tennis Sparkle Racket Charm","https://drive.google.com/drive/folders/1R-nM6nkjeAl3vlI0lm1B7FtjrJsjJ9He?usp=drive_link","https://drive.google.com/drive/folders/1R-nM6nkjeAl3vlI0lm1B7FtjrJsjJ9He?usp=drive_link"
"DUN CHAR08","Blue Power Dumbbell Charm","https://drive.google.com/drive/folders/1Xkg1CSLpIQ_K9ylnbfgOO8rbk2hNZqib?usp=drive_link","https://drive.google.com/drive/folders/1Xkg1CSLpIQ_K9ylnbfgOO8rbk2hNZqib?usp=drive_link"
"DUN CHAR09","Purple Strength Dumbbell Charm","https://drive.google.com/drive/folders/17A0rIVLgt0v56S1W3vdXLYgeev9RYwxn?usp=drive_link","https://drive.google.com/drive/folders/17A0rIVLgt0v56S1W3vdXLYgeev9RYwxn?usp=drive_link"
"DUN CHAR10","The Red Energy Dumbbell Charm","https://drive.google.com/drive/folders/1YgslBqlN4jWUHhUvuR3BWr6hmJ_rjmE_?usp=drive_link","https://drive.google.com/drive/folders/1YgslBqlN4jWUHhUvuR3BWr6hmJ_rjmE_?usp=drive_link"
"DUN CHAR100","Lucky Horseshoe Charm","https://drive.google.com/drive/folders/18ngjb0HRKZWMt_Pqv42XWySCYpkTkKjH?usp=drive_link","https://drive.google.com/drive/folders/18ngjb0HRKZWMt_Pqv42XWySCYpkTkKjH?usp=drive_link"
"DUN CHAR101","Lotus Bloom Charm","https://drive.google.com/drive/folders/1GferSA_rE24e4OTEwYZTlqsMkRPFjo-Q?usp=drive_link","https://drive.google.com/drive/folders/1GferSA_rE24e4OTEwYZTlqsMkRPFjo-Q?usp=drive_link"
"DUN CHAR102","Ocean Shell Charm","https://drive.google.com/drive/folders/1mQo0V9dmg6vN9MecvTmNhPcsFBcm9hTi?usp=drive_link","https://drive.google.com/drive/folders/1mQo0V9dmg6vN9MecvTmNhPcsFBcm9hTi?usp=drive_link"
